Date,Device_ID,CPU_Usage,Memory_Usage,Disk_IO,Temperature,Network_Traffic,Power_Consumption,Fan_Speed,Failure_Indicator
2025-01-01 00:00:00,S021,33.52048373454838,36.422377608082975,184.73993839723758,69.3885555768967,903.4365081430517,171.59126191634283,2792.0267214095925,0
2025-01-01 00:05:00,S032,63.45446540378091,82.81905110594424,338.6873152561805,73.20979969339051,833.0050830870833,203.81468933603287,1228.4585106792872,0
2025-01-01 00:10:00,S027,35.79761046753808,41.78936690174338,122.75014844219253,84.53921907185322,516.3957275945818,200.61981753311824,1015.30929311927,0
2025-01-01 00:15:00,S040,47.614572721377975,36.713114574826285,419.18134811109104,88.99450042243235,725.0349462728615,148.89167382507523,1935.9466639753437,0
2025-01-01 00:20:00,S044,48.5868870597594,47.03287260612536,384.344378226165,59.398409355517344,355.52591024663354,195.50987100538723,2209.8894290352932,0
2025-01-01 00:25:00,S016,53.77055405085845,68.51420573560834,230.1123337263642,44.80660473141139,111.35240823956309,166.3465378739208,2989.0676430477133,0
2025-01-01 00:30:00,S004,45.35091999957353,71.26765759539256,336.6062136381569,52.47369505164414,857.3232907554329,108.46405723654,1389.69931326987,0
2025-01-01 00:35:00,S034,89.8926267507589,74.57429044333514,363.4992098497448,60.29561127104696,700.7415574005404,168.03195237007878,1455.7530978255372,0
2025-01-01 00:40:00,S032,69.11361960837434,49.761370712658135,57.95209031196275,70.4616419759131,331.39865351738337,124.12296195989259,1176.7561694345566,0
2025-01-01 00:45:00,S020,80.5542581224548,39.81257096107125,265.665385742615,44.75700255938487,435.3216500568889,135.74886047946,2032.293589589796,0
2025-01-01 00:50:00,S040,88.04059818613696,40.45722348690457,182.44633181309933,60.800352697780056,666.7844771730237,132.63186822087613,2564.5448830094165,0
2025-01-01 00:55:00,S002,44.96790020547252,53.68383365122597,95.26479262185072,54.813458071403005,451.1575361903837,107.97143453037728,1459.0687931454386,0
2025-01-01 01:00:00,S042,30.62080880496446,37.349608368055854,448.046513197621,40.34297273539674,689.0339804257844,166.28418095741128,1159.8980023285026,0
